Absolute Magnitude,Est Dia in KM(min),Relative Velocity km per sec,Miss Dist.(kilometers),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,hazardous
22.3,0.092162655,8.526320844,69003400,29,3,0.0259126,5.372,2458000.5,0.25973232,5.035044226,28.85202161,460.1894558,0.863536992,271.6146744,1.469502839,2457770.913,179.6031186,0.782286503,0
22.7,0.076657557,7.919524045,16047525,13,4,0.0525422,6.519,2458000.5,0.151415852,5.860414923,177.8573023,319.0255592,0.775377062,90.64125634,1.052083571,2458138.756,203.9869516,1.128436232,0
26.1,0.016016034,4.655478593,38220508,8,5,0.018587,6.36,2458000.5,0.171432883,11.94779477,229.0663218,332.424644,0.77813966,227.549975,1.100138258,2458042.506,314.5094251,1.082952201,0
20.6,0.201629919,2.164372849,63257484,42,2,0.183818,3.753,2458000.5,0.407470352,4.061695563,142.2597511,1016.466481,1.172302908,38.66044218,2.78463971,2457957.835,15.11056876,0.354168098,0
21.7,0.121494041,28.41895426,7261686.5,29,1,0.0128745,6.152,2453548.5,0.868418907,4.03507427,342.7842082,315.3683408,0.119309016,322.3904958,1.694158469,2453597.575,303.9792986,1.14152232,1
23.9,0.04411182,10.55151977,2952796.75,32,3,0.0109543,4.767,2458000.5,0.398820008,3.854342069,341.2186362,577.9754044,0.8163539,237.1733163,1.899484655,2457913.298,54.31490079,0.622863875,0
23.9,0.04411182,17.56490765,64932800,10,1,0.0453154,6.298,2458000.5,0.397381006,11.60766472,195.3700872,333.0550193,0.566658212,315.2418743,1.313993469,2458097.467,255.1877435,1.080902491,0
21.3,0.146067964,19.22316546,15266183,13,4,0.0140066,5.149,2458000.5,0.249424883,35.2402425,149.1565599,470.5679774,0.888676013,55.21650962,1.479310862,2457816.155,141.0296512,0.765032933,1
26.989,0.010635428,7.16414806,31654442,2,7,0.0071428,5.874,2458000.5,0.317906126,4.008314775,322.7144945,384.2473032,0.705535845,249.0178765,1.363199477,2457901.624,92.63701924,0.936896621,0
19.3,0.366906138,13.57630264,52470692,117,0,0.00132059,5.308,2458000.5,0.190284255,5.883903318,251.5911063,473.8907827,0.963205914,211.446774,1.415915205,2457797.751,154.0217068,0.759668711,1
22.6,0.080270317,11.47029804,7744736.5,14,0,0.0341962,5.089,2458000.5,0.428252611,5.850410278,151.2892419,501.2634018,0.706072403,292.6184517,1.763802986,2457751.689,178.6926558,0.718185287,0
23.8,0.046190746,11.93064253,14592393,34,0,0.052677,7.48,2455882.5,0.386458786,20.83376792,352.9223652,243.4240059,0.468116261,351.1788108,1.057832607,2455988.219,203.6522586,1.478900976,0
28.6,0.005064715,9.874143162,21946004,8,6,0.00220111,5.349,2458000.5,0.229959584,1.990548432,336.8735047,465.9228969,0.905713006,120.0623448,1.446664836,2457796.516,157.610209,0.772660031,0
21.2,0.152951935,15.93870716,25865906,6,6,0.0667857,4.469,2458000.5,0.437398953,24.56842188,151.7319137,632.7522952,0.811504136,97.07781957,2.073325675,2458075.09,317.5623087,0.568943017,0
22.8,0.073207399,11.74041348,49843512,7,6,0.0452308,6.708,2458000.5,0.51390657,6.812692898,64.12627503,294.028997,0.420643557,292.8831881,1.310067172,2457885.994,140.1980047,1.224369037,0
23.8,0.046190746,11.93061192,14592338,41,0,0.0515902,7.48,2456125.5,0.386445067,20.83340837,352.9209235,243.4139883,0.468113884,351.1779799,1.057793118,2456231.633,203.0327732,1.47896184,0
23.6,0.050647146,3.838016764,12937927,21,0,0.0231683,5.694,2458000.5,0.1755281,1.499707987,143.9720934,412.833952,0.894596466,2.124647144,1.275511373,2458019.676,343.2780838,0.872021301,0
19.8,0.291443905,14.65060718,73819112,80,0,0.00864628,5.679,2458000.5,0.659670171,1.660280613,211.1661459,386.8704957,0.353626501,111.2704878,1.724513416,2458022.991,339.0708465,0.930543952,1
21.7,0.121494041,7.514875357,74676320,39,0,0.072723,4.988,2458000.5,0.180694935,2.883848268,42.77459458,540.5901588,1.064042019,283.6789059,1.533383689,2458116.955,282.4479213,0.665938871,0
20.1,0.253837029,14.38282119,62975644,27,0,0.286119,5.55,2458000.5,0.608529113,19.76609421,228.3483096,402.9863441,0.41798504,179.9055931,1.717474091,2458175.962,203.254479,0.893330519,0
19.9,0.278326768,16.53824927,55719572,48,0,0.00632801,5.118,2458000.5,0.200158668,23.76674096,157.1413506,495.2579003,0.979849028,9.618026017,1.470259485,2458225.396,196.5243824,0.726894008,1
27.4,0.008801465,7.339140833,10631156,7,7,0.00184403,5.435,2458000.5,0.221635471,7.430785915,330.7831998,450.2267561,0.894825363,290.4836428,1.404419606,2457820.163,144.1965902,0.799597081,0
23.9,0.04411182,10.59959371,58869008,11,5,0.110326,4.698,2458000.5,0.225484982,8.113962312,158.2260558,610.454233,1.090769447,28.4122282,1.725882064,2457721.451,164.5618703,0.589724799,0
26.9,0.011080388,22.82462864,70754448,5,7,0.00602602,6.938,2458000.5,0.29973327,10.27694003,171.1772581,282.0210087,0.589366594,218.2204921,1.093896567,2457932.079,87.33995138,1.276500647,0
21.424,0.137960569,20.37422233,33566916,9,6,0.0890355,4.955,2458000.5,0.147884621,39.4070151,356.5439055,501.8568085,1.053139736,218.601812,1.41868453,2457874.564,90.33855226,0.717336088,0
17.3,0.921626549,22.96034994,12975059,69,0,0.0591071,3.12,2458000.5,0.776643889,9.064507174,352.6914108,1243.602788,0.505498665,299.7393342,4.020893403,2458582.733,191.4543291,0.2894815,0
